"x"	"y"	"Tayloria_serrata"	"Thuidium_assimile"	"Tortella_pseudofragilis"	"ddeg0"	"mind68"	"srad68"	"slope25"	"topos25"
"31"	2578624.075	1124899.5749	0	0	0	13494	372.095977783203	29474.935546875	26.753210067749	3.620112657547
"32"	2578684.8021	1124961.2664	0	0	0	13494	372.095977783203	29474.935546875	26.753210067749	3.620112657547
"33"	2578592.8395	1125101.3563	1	0	0	13217.23828125	509.238220214844	26430.271484375	19.6611289978027	20.3536701202393
"34"	2578352.4442	1125122.9032	0	0	0	12581.98828125	565.420532226562	25836.751953125	23.0691757202148	145.040069580078
"35"	2578004.1263	1125329.2256	0	0	0	12629.15625	477.222412109375	28027.11328125	18.7808532714844	92.7067947387695
"36"	2577800.6356	1125299.0633	0	0	0	11929.798828125	536.47265625	27405.35546875	25.0144538879395	178.610794067383
"37"	2579001.5163	1125097.9478	0	0	0	13643.0400390625	507.968566894531	26067.671875	15.8093862533569	-63.4667053222656
"38"	2579206.2457	1125077.9729	0	0	0	13209.8994140625	513.5087890625	26420.177734375	14.6713199615479	-65.6313629150391
"39"	2579207.6281	1125089.7566	0	0	0	13643.0400390625	507.968566894531	26067.671875	15.8093862533569	-63.4667053222656
"40"	2577349.4261	1124600.8853	0	0	0	15163.525390625	288.476745605469	28982.263671875	33.6316070556641	-132.342620849609
"41"	2579600.4604	1125797.9382	1	0	0	12946.2509765625	487.4033203125	28190.75	16.7901134490967	49.6616287231445
"42"	2579300.4247	1125801.8646	0	0	0	13235.05078125	499.831359863281	27313.158203125	16.4318981170654	27.4675102233887
"43"	2579059.8314	1125383.946	0	0	0	13880.66015625	373.450805664062	29405.63671875	18.1195030212402	-37.0301132202148
"44"	2578924.8455	1125419.5628	1	0	0	14226.9267578125	420.789489746094	27638.658203125	11.4286317825317	-54.8292388916016
"45"	2578659.1555	1125442.2173	0	0	0	13884.7626953125	492.199890136719	26106.58203125	17.3997344970703	-22.8345375061035
"46"	2578550.8767	1125700.4893	0	0	0	13987.015625	399.324554443359	28535.26953125	17.7545318603516	-1.42900085449219
"47"	2578753.6985	1125898.8448	0	0	0	14672.8271484375	476.906494140625	26018.185546875	18.5482940673828	-49.2437171936035
"48"	2579099.775	1126315.3689	0	0	0	14680.7294921875	455.993286132812	26768.1484375	14.9072179794312	-73.8479385375977
"49"	2573712.4702	1120866.6967	0	0	0	15987.142578125	507.463500976562	22208.890625	46.4144630432129	94.7256088256836
"50"	2573900.296	1119997.3958	0	0	0	20548.38671875	227.57861328125	24555.626953125	11.9036254882812	-138.236312866211
"51"	2573101.2873	1119599.2378	0	0	0	15889.9716796875	298.703796386719	27290.451171875	20.0629749298096	-29.3757724761963
"52"	2572789.5828	1119198.7523	0	0	0	14757.458984375	411.393127441406	25673.7734375	24.9489879608154	-39.1740455627441
